SITE_ID,SITE_IGBP,month,TA_F_avg,VPD_F_avg,P_F_avg,NETRAD_avg,NEE_VUT_REF_avg,NEE_VUT_REF_QC_avg,NEE_CUT_REF_avg,NEE_CUT_REF_QC_avg,GPP_NT_VUT_REF_avg,GPP_DT_VUT_REF_avg,GPP_NT_CUT_REF_avg,GPP_DT_CUT_REF_avg,RECO_NT_VUT_REF_avg,RECO_DT_VUT_REF_avg,RECO_NT_CUT_REF_avg,RECO_DT_CUT_REF_avg,ET_avg,BESS_PAR_avg,BESS_PARdiff_avg,BESS_RSDN_avg,CSIF_SIFdaily_avg,CSIF_SIFinst_avg,PET_avg,Ts_avg,Tmean_avg,prcp_avg,vpd_avg,prcp_lag3_avg,ESACCI_sm_avg,b1_avg,b2_avg,b3_avg,b4_avg,b5_avg,b6_avg,b7_avg,EVI_avg,GCI_avg,NDVI_avg,NDWI_avg,NIRv_avg,kNDVI_avg,Percent_Snow_avg,Fpar_avg,Lai_avg,LST_Day_avg,LST_Night_avg,CO2_concentration_avg,dataset,MODIS_LC,MODIS_IGBP,MODIS_PFT,koppen_sub,koppen,hemisphere,LOCATION_LAT,LOCATION_LONG
AR-Vir,ENF,9,19.792,9.419,1.894,104.2254345,1.29383,0.959028,1.36179,0.958333,8.53476,7.54931,8.8033,7.53963,10.1613,7.95282,9.90033,7.14784,7.4415073,101.0,32.0,222.0,0.21006429,0.5844266,-0.006154791,291.2943,291.5006,0.001658583,0.642826,0.009220674,0.3647775,0.05622333,0.25344667,0.027496668,0.055760004,0.28789,0.20511667,0.10423333,0.29324402477658323,3.5520737,0.6369007,0.10540362,0.16142727,0.3847905,0.0,0.61,2.1,300.92,284.12,389.17,FLUXNET,9,SAV,SA,Cfa,Temperate,S,-28.2395,-56.1886
AR-Vir,ENF,10,20.8735,8.3175,5.314,137.74559755,-1.5384486,0.881384,-1.4806665,0.892809,11.9055,9.01287,12.19005,8.777085,10.57901,3.79373,10.40999,3.96947,8.5618165,118.0,39.0,257.5,0.26954432,0.700525165,-0.0067549165,293.241825,293.05074,0.005379109,0.67327204,0.01247202,0.374746785,0.049888709,0.265016125,0.024291934,0.0557516085,0.28537098,0.19720804,0.095462895,0.37418348,3.75050125,0.68258945,0.14595195,0.18107323,0.434932765,0.0,0.66,2.5,301.67,286.49,388.395,FLUXNET,9,SAV,SA,Cfa,Temperate,S,-28.2395,-56.1886
AR-Vir,ENF,11,23.8,12.409,3.2655,173.28348025,-1.036853,0.890625,-0.782201,0.904514,14.91035,9.181165,15.6578,9.3548,14.68135,3.87601,14.1671,4.21747,9.3331025,140.0,41.5,305.0,0.332593245,0.83574942,-0.008384975,295.99614,295.75726,0.003219086,0.99988252,0.0140795265,0.33492261,0.054061664,0.29863668,0.026514997,0.0629699935,0.31531332,0.212383315,0.10180334,0.41336912,3.7546388,0.69338505,0.16887764,0.20716284,0.446919115,0.0,0.685,2.9,304.51,288.28,389.0725,FLUXNET,9,SAV,SA,Cfa,Temperate,S,-28.2395,-56.1886
AR-Vir,ENF,12,26.039,13.026,5.026,170.025408,1.4548,0.942204,1.47385,0.950269,15.5007,10.0669,15.6382,10.0271,17.2649,6.83542,17.2882,6.80517,8.843316,132.0,48.0,282.0,0.3697338,0.93288314,-0.007714525,298.17078,297.97382,0.007306484,0.91176283,0.012045081,0.34871957,0.05444839,0.31505162,0.026561288,0.06672258,0.32610002,0.21619034,0.10154516,0.4514909,3.720321,0.70482177,0.18570562,0.2222497,0.4595932,0.0,0.7,3.2,306.02,291.66,388.75,FLUXNET,9,SAV,SA,Cfa,Temperate,S,-28.2395,-56.1886
AT-Neu,GRA,1,-3.5995,0.874625,0.727375,-21.13987512,1.718167875,0.90255375,1.75475525,0.889868875,0.1831132125,0.236282745,0.12010025,0.2608751,1.94176425,1.250332125,1.889749,1.2354075,0.96223317,21.375,10.75,47.875,0.008329939,0.0340344565,-0.00114415775,262.15453125,263.91003,0.00209782225,0.07378193475,0.009525269,0.24943720478288073,0.105134375,0.18462374125,0.10460541375,0.10600478525,0.13522499,0.0717408315,0.03864062325,0.189269265714286,2.0921599625,0.4088731825,0.3885574375,0.0584237605,0.2132119605,83.55645275,0.19,0.2375,268.3125,263.045,381.16625,FLUXNET,5,MF,MF,Dfb,Cold,N,47.11667,11.3175
AT-Neu,GRA,2,-2.72655555555556,1.36355555555556,0.725888888888889,-5.00999065833333,1.26062844444444,0.933945222222222,1.22827566666667,0.931171444444444,0.416537588888889,0.248871733333333,0.475708022222222,0.285627911111111,1.69318933333333,0.942971222222222,1.67912133333333,1.09520677777778,2.11744817777778,38.3333333333333,18.8888888888889,86.7777777777778,0.0094515677777777,0.0340155634444444,-0.0029453951111111,263.444064444444,264.455575555556,0.0025243296666666,0.0810003301111111,0.0085607014444444,0.24943720478288073,0.310360664444444,0.348009757777778,0.317551891111111,0.317644221111111,0.176135366666667,0.0614915962222222,0.0300917348888889,0.1137696925,0.0983715316666667,0.0582668734444445,0.698486328888889,0.0199754035555556,0.0037040125555555,83.0400923333333,0.228888888888889,0.288888888888889,269.208888888889,261.026666666667,383.547777777778,FLUXNET,5,MF,MF,Dfb,Cold,N,47.11667,11.3175
AT-Neu,GRA,3,2.57033333333333,2.67544444444444,1.09344444444444,31.8569304233333,1.51200366666667,0.935633222222222,1.53457666666667,0.936230555555556,1.28771322222222,0.931542777777778,1.33456277777778,0.898368888888889,2.80816666666667,1.63403255555556,2.86573444444444,1.603024,3.20130743333333,61.1111111111111,31.8888888888889,137.0,0.0261602057777778,0.0813919742222222,-0.0060576665555555,268.614736666667,269.150431111111,0.0034348436666666,0.108726457555556,0.008881249,0.24943720478288073,0.155772620666667,0.235849883333333,0.146820243555556,0.157162142777778,0.174219531111111,0.110096504777778,0.0622354618888889,0.174153565,0.917085316666667,0.270876473333333,0.343287802222222,0.0540030465555556,0.100468928444444,70.8530458888889,0.318888888888889,0.577777777777778,277.153333333333,265.726666666667,383.282222222222,FLUXNET,5,MF,MF,Dfb,Cold,N,47.11667,11.3175
AT-Neu,GRA,4,7.29163636363636,4.20845454545455,1.22554545454545,81.88762581,-0.694612345454545,0.973611181818182,-0.689574227272727,0.974873818181818,8.16891545454545,6.60782363636364,8.27074,6.61389363636364,7.56763727272727,4.65969181818182,7.60958818181818,4.62792181818182,4.50963669090909,80.7272727272727,45.3636363636364,179.909090909091,0.0901970658181818,0.24827445,-0.0085263521818181,272.842442727273,273.260158181818,0.0036327274545454,0.136588745818182,0.0095590482727272,0.24943720478288073,0.0662590835454545,0.216493534545455,0.0483678029090909,0.0683823729090909,0.209804578181818,0.143829799090909,0.0762281272727273,0.298779831,2.30015707272727,0.53364351,0.200383859090909,0.116164250363636,0.282628922727273,33.3393941181818,0.499090909090909,1.31818181818182,286.123636363636,269.16,382.975909090909,FLUXNET,5,MF,MF,Dfb,Cold,N,47.11667,11.3175
AT-Neu,GRA,5,11.7479,5.2068,2.0722,108.144188518,-3.566435,0.9675402,-3.566909,0.9724462,14.24296,12.38567,14.29709,12.3767,10.550765,7.372658,10.745459,7.452429,6.02319189,90.7,53.9,199.2,0.252464825,0.642478739,-0.0088461019,276.574614,277.474408,0.0058397909,0.1588820984,0.0128383192,0.292640178,0.0472805443,0.256239067,0.0290684554,0.0561812026,0.234025453,0.143320854,0.0686900018,0.394903047777778,3.64721205,0.689307257,0.2821535,0.176893255,0.442900359,2.857385395,0.626,2.3,290.764,273.136,383.9735,FLUXNET,5,MF,MF,Dfb,Cold,N,47.11667,11.3175
AT-Neu,GRA,6,15.3496363636364,5.97345454545455,2.60718181818182,116.448422605455,1.96140363636364,0.963446818181818,1.95814909090909,0.959722272727273,11.04421,9.06164,11.2151590909091,9.03206636363636,12.9979363636364,9.21282090909091,12.8576545454545,9.08350818181818,6.19287809090909,101.272727272727,54.7272727272727,222.454545454545,0.311715053636364,0.766833565454546,-0.010518223,281.155069090909,281.993159090909,0.0069312809090909,0.226278116363636,0.0163985451818182,0.284143328181818,0.0421515644545455,0.268462336363636,0.0235574393636364,0.0539520999090909,0.2509165,0.154218290909091,0.071737744,0.420329792,3.98585148181818,0.728714002727273,0.270329741818182,0.195593203636364,0.486158497272727,0.0,0.674545454545455,2.62727272727273,294.145454545455,277.272727272727,383.275,FLUXNET,5,MF,MF,Dfb,Cold,N,47.11667,11.3175
