SITE_ID,dataset,start_year,end_year,path,dup,IGBP,LOCATION_ELEV,LOCATION_LAT,LOCATION_LONG,SITE_NAME,koppen_sub,koppen_main,koppen_name,koppen_main_name,C3/C4,C4_percent
CA-WP3,AmeriFlux,2004,2006,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_CA-WP3_FLUXNET2015_FULLSET_MM_2004-2006_beta-5.csv,False,WET,,54.47,-113.32,Alberta - Western Peatland - Rich Fen  (Carex),27,4,Dfc,Cold,C3,0.43
US-AR1,AmeriFlux,2009,2012,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-AR1_FLUXNET2015_FULLSET_MM_2009-2012_beta-4.csv,True,GRA,611.0,36.4267,-99.42,ARM USDA UNL OSU Woodward Switchgrass 1,14,3,Cfa,Temperate,C4,27.54
US-AR2,AmeriFlux,2009,2012,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-AR2_FLUXNET2015_FULLSET_MM_2009-2012_beta-4.csv,True,GRA,646.0,36.6358,-99.5975,ARM USDA UNL OSU Woodward Switchgrass 2,14,3,Cfa,Temperate,C4,27.54
US-ARM,AmeriFlux,2003,2018,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-ARM_FLUXNET2015_FULLSET_MM_2003-2018_beta-3.csv,True,CRO,314.0,36.6058,-97.4888,ARM Southern Great Plains site- Lamont,14,3,Cfa,Temperate,mix,15.97
US-ARb,AmeriFlux,2005,2006,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-ARb_FLUXNET2015_FULLSET_MM_2005-2006_beta-4.csv,True,GRA,424.0,35.5497,-98.0402,ARM Southern Great Plains burn site- Lamont,14,3,Cfa,Temperate,C4,20.41
US-ARc,AmeriFlux,2005,2006,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-ARc_FLUXNET2015_FULLSET_MM_2005-2006_beta-4.csv,True,GRA,424.0,35.5465,-98.04,ARM Southern Great Plains control site- Lamont,14,3,Cfa,Temperate,C4,20.41
US-Bar,AmeriFlux,2005,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Bar_FLUXNET2015_FULLSET_MM_2005-2017_beta-3.csv,False,DBF,272.0,44.0646,-71.2881,Bartlett Experimental Forest,26,4,Dfb,Cold,C3,0.0
US-Bi1,AmeriFlux,2016,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Bi1_FLUXNET2015_FULLSET_MM_2016-2017_beta-5.csv,False,CRO,-2.7,38.0992,-121.4993,Bouldin Island Alfalfa,8,3,Csa,Temperate,C3,1.03
US-Bi2,AmeriFlux,2017,2017,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-Bi2_FLUXNET2015_FULLSET_MM_2017-2017_beta-5.csv,False,CRO,-5.0,38.1091,-121.5351,Bouldin Island corn,8,3,Csa,Temperate,C4,1.03
US-CRT,AmeriFlux,2011,2013,/Users/yanghuikang/Documents/Work/Research/Data/Flux_data/OneFlux/raw/AmeriFlux/all_sites_FULLSET/FLX_US-CRT_FLUXNET2015_FULLSET_MM_2011-2013_beta-4.csv,True,CRO,180.0,41.6285,-83.3471,Curtice Walter-Berger cropland,25,4,Dfa,Cold,C3,29.26
