index,filename,size,country,site_id,record_count,site_IGBP,site_koppen,start_time,end_time,recorded_date_count
173,data_full_half_hourly_raw_v0_1_FR-Fon.csv,109981671,FR,FR-Fon,262224,DBF,Temperate,3/11/2005 0:00,12/31/2020 23:30,5463
174,data_full_half_hourly_raw_v0_1_CZ-Lnz.csv,42122333,CZ,CZ-Lnz,102384,DBF,Cold,1/1/2015 0:00,12/31/2020 23:30,2133
175,data_full_half_hourly_raw_v0_1_FI-Var.csv,36525144,FI,FI-Var,86544,ENF,Cold,1/1/2016 0:00,12/31/2020 23:30,1803
176,data_full_half_hourly_raw_v0_1_ES-Abr.csv,40330319,ES,ES-Abr,88656,WSA,Temperate,11/5/2015 0:00,12/31/2020 23:30,1847
177,data_full_half_hourly_raw_v0_1_IT-Lsn.csv,36898890,IT,IT-Lsn,82656,OSH,Temperate,1/1/2016 0:00,12/31/2020 23:30,1722
178,data_full_half_hourly_raw_v0_1_US-Ses.csv,83255223,US,US-Ses,190272,OSH,Arid,1/1/2007 0:00,12/31/2017 23:30,3964
179,data_full_half_hourly_raw_v0_1_IT-Ro2.csv,71813758,IT,IT-Ro2,159792,DBF,Temperate,1/1/2002 0:00,12/31/2012 23:30,3329
180,data_full_half_hourly_raw_v0_1_US-Tw1.csv,33160645,US,US-Tw1,76992,WET,Temperate,4/12/2011 0:00,10/26/2017 23:30,1604
181,data_full_half_hourly_raw_v0_1_AU-Stp.csv,43106187,AU,AU-Stp,100176,GRA,Arid,8/28/2008 0:00,12/31/2014 23:30,2087
182,data_full_half_hourly_raw_v0_1_US-SRM.csv,85092857,US,US-SRM,190752,WSA,Arid,1/1/2004 0:00,12/31/2014 23:30,3974
183,data_full_half_hourly_raw_v0_1_IT-CA2.csv,24775848,IT,IT-CA2,55536,CRO,Temperate,7/13/2011 0:00,12/17/2014 23:30,1157
184,data_full_half_hourly_raw_v0_1_ES-LJu.csv,111661016,ES,ES-LJu,239616,OSH,Temperate,5/26/2004 0:00,12/31/2020 23:30,4992
185,data_full_half_hourly_raw_v0_1_US-Wi5.csv,4352301,US,US-Wi5,11376,ENF,Cold,4/20/2004 0:00,12/12/2004 23:30,237
186,data_full_half_hourly_raw_v0_1_CA-Ca1.csv,79117148,CA,CA-Ca1,213456,ENF,Temperate,10/25/1997 0:00,12/31/2010 23:30,4447
187,data_full_half_hourly_raw_v0_1_US-Ro1.csv,101478293,US,US-Ro1,223200,CRO,Cold,1/1/2004 0:00,12/31/2016 23:30,4650
188,data_full_half_hourly_raw_v0_1_US-WPT.csv,21531652,US,US-WPT,52608,WET,Cold,1/1/2011 0:00,12/31/2013 23:30,1096
189,data_full_half_hourly_raw_v0_1_CA-Ca3.csv,71789813,CA,CA-Ca3,162480,ENF,Temperate,9/14/2001 0:00,12/31/2010 23:30,3385
190,data_full_half_hourly_raw_v0_1_FR-Lam.csv,116021526,FR,FR-Lam,259296,CRO,Temperate,3/13/2005 0:00,12/31/2020 23:30,5402
191,data_full_half_hourly_raw_v0_1_US-Wi7.csv,3150051,US,US-Wi7,8112,OSH,Cold,5/23/2005 0:00,11/7/2005 23:30,169
