month,hour,gap_flag_month,gap_flag_hour,timestep_idx_global,TA_ERA,SW_IN_ERA,LW_IN_ERA,VPD_ERA,P_ERA,PA_ERA,EVI,NDVI,NIRv,b1,b2,b3,b4,b5,b6,b7,BESS-PAR,BESS-PARdiff,BESS-RSDN,CSIF-SIFdaily,PET,Ts,ESACCI-sm,NDWI,Percent_Snow,Fpar,Lai,LST_Day,LST_Night,relative_time_idx,encoder_index
0.002128721,0.08396857,0.0058543263,0.03105426,0.028035516,0.060485028,0.09485796,0.028106708,0.022868073,0.0047272993,0.022387909,0.04028002,0.013590045,0.007858633,0.025500193,0.030106908,0.04549893,0.0029859918,0.01538124,0.09031504,0.03909073,0.016189402,0.004187102,0.010743419,0.0051943557,0.005330519,0.026051695,0.021193683,0.016812032,0.06849761,0.04792887,0.038038496,0.02801535,0.011724053,0.005011336,-319
0.0024034365,0.054027077,0.006915241,0.018936766,0.038269106,0.07539412,0.0896766,0.035720438,0.023354711,0.0045900266,0.019883586,0.043675326,0.015207642,0.007348785,0.020162925,0.030513594,0.038112063,0.0028680603,0.013021569,0.09446395,0.03956099,0.015214313,0.0047635366,0.011095398,0.005264976,0.004883494,0.025224546,0.022910945,0.01653554,0.08548446,0.049357295,0.035936747,0.029630253,0.015415946,0.004176523,-318
0.0021915173,0.08779526,0.0057213176,0.07301877,0.093835175,0.054571714,0.07914692,0.019827953,0.018865857,0.00591998,0.021111248,0.03255192,0.010438435,0.009341238,0.021384742,0.026807543,0.043780006,0.0039299275,0.01147159,0.08484291,0.035678532,0.015301122,0.0028270306,0.0117582055,0.005459459,0.004551359,0.023807604,0.019354653,0.019354766,0.036221534,0.044402514,0.03527616,0.024744572,0.008989982,0.0057184226,-317
0.0024249305,0.050412722,0.007786211,0.013932556,0.04102358,0.055771656,0.07545828,0.04169921,0.021908488,0.004233769,0.020197077,0.0505535,0.017302645,0.006393928,0.020917976,0.027927581,0.037174616,0.002752903,0.0142675415,0.08709152,0.039699096,0.015977709,0.005560215,0.011278458,0.004988121,0.0051314915,0.025320597,0.024155676,0.016062217,0.117449634,0.049996227,0.03524265,0.029183311,0.016758181,0.0039657475,-316
0.0028626244,0.05119453,0.007693133,0.009023162,0.034760196,0.053498037,0.06455688,0.048490934,0.021673335,0.0037270815,0.018282257,0.047958367,0.021124564,0.006036204,0.021883225,0.030827649,0.035785943,0.0027248485,0.016087456,0.0742701,0.037772764,0.016451567,0.006630524,0.0101921,0.0051536835,0.0056890193,0.026108002,0.020884158,0.010960589,0.14592953,0.0490687,0.037452318,0.03161944,0.019797303,0.0038297789,-315
0.0024772868,0.06764374,0.006325155,0.021393452,0.06658885,0.053095035,0.07585101,0.04012929,0.019549385,0.005160938,0.021428281,0.042037334,0.015431643,0.00835287,0.022178002,0.028426709,0.047607206,0.0036120685,0.01126734,0.085205264,0.038779553,0.015577998,0.004045486,0.012571325,0.005245328,0.0041132374,0.025350243,0.020001328,0.015971076,0.082667634,0.049998417,0.03870727,0.027717972,0.011399076,0.004093265,-314
0.0023181613,0.09485324,0.0060086,0.024975667,0.07012096,0.054197233,0.06824426,0.030214509,0.01975984,0.0049577975,0.021649633,0.039013192,0.016031804,0.008334535,0.023594635,0.027833631,0.048003018,0.0029741505,0.01351665,0.07697598,0.040769156,0.015867209,0.0038729766,0.009848159,0.0051668626,0.005179822,0.02793522,0.019636549,0.016537342,0.071151935,0.048529558,0.037962444,0.028185455,0.011249028,0.0045308406,-313
0.0027539774,0.06564594,0.0066829976,0.011129885,0.047037315,0.050024197,0.05606102,0.04170849,0.022590464,0.004256179,0.019706864,0.04564965,0.019653788,0.007337384,0.02173799,0.033704944,0.041559536,0.0029384962,0.013696035,0.08135483,0.0409117,0.015807066,0.005073815,0.010423213,0.005334464,0.0051746126,0.028313365,0.020398242,0.0123892715,0.116110444,0.052240834,0.04067173,0.031255793,0.016894612,0.0037708145,-312
0.0026017493,0.05982039,0.0068194736,0.011521235,0.04479416,0.041575048,0.05476513,0.041326527,0.020491185,0.004255433,0.020100906,0.046579633,0.01978231,0.007117773,0.021003528,0.03312648,0.042330477,0.0028948635,0.015007566,0.08161965,0.041853387,0.01571796,0.005622668,0.010903466,0.005123729,0.0050106193,0.027275193,0.0207362,0.013462972,0.13361378,0.051778372,0.03882977,0.031643268,0.017299727,0.0035953808,-311
0.0030384779,0.057332117,0.0074333786,0.0087463735,0.039564103,0.040721443,0.055454347,0.04727229,0.021349957,0.0042470633,0.01844181,0.047385998,0.021656891,0.0070950543,0.019308407,0.035546243,0.036183324,0.0029272286,0.013310721,0.07871899,0.041644182,0.015295991,0.0054272986,0.010856082,0.0052787815,0.0051096636,0.02790375,0.020416899,0.011346369,0.13991682,0.05355177,0.041265734,0.033337265,0.019361474,0.0035536757,-310
