encoder_index,month,day,hour,gap_flag_month,gap_flag_hour,timestep_idx_global,TA_ERA,SW_IN_ERA,LW_IN_ERA,VPD_ERA,P_ERA,PA_ERA,EVI,NDVI,NIRv,b1,b2,b3,b4,b5,b6,b7,BESS-PAR,BESS-PARdiff,BESS-RSDN,CSIF-SIFdaily,PET,Ts,ESACCI-sm,NDWI,Percent_Snow,Fpar,Lai,LST_Day,LST_Night,relative_time_idx,GPP_NT_VUT_REF,encoder_attention
-305,0.014679836,0.009673193,0.005562827,0.003190537,0.12840492,0.03523199,0.12732878,0.015013672,0.012650222,0.020401986,0.033760518,0.023481298,0.014104239,0.023188762,0.012154956,0.02853904,0.0037484951,0.0030586685,0.022014998,0.015677948,0.015427499,0.0044168252,0.020343514,0.017504577,0.012335244,0.009361508,0.020328233,0.0064156903,0.002226501,0.020439625,0.0027651428,0.03634359,0.020985022,0.014398803,0.016160658,0.16572925,0.062951416,0.0004770033
-304,0.016630258,0.005213878,0.014247959,0.008786848,0.17887907,0.040519048,0.075434,0.019713111,0.01579865,0.017270805,0.04833356,0.04127602,0.017060857,0.010727721,0.017279807,0.026169073,0.0029218476,0.010263455,0.05101703,0.015581441,0.018960763,0.016641647,0.025256438,0.027175203,0.015681582,0.012379387,0.024075424,0.0018005788,0.0013334174,0.026904097,0.0020682686,0.031582862,0.03169511,0.011028368,0.017958717,0.019175477,0.083158195,0.0004706819
-303,0.014224992,0.0038693654,0.022775972,0.015285553,0.10845977,0.033488683,0.057214964,0.037991975,0.018241055,0.011826625,0.032648377,0.034606427,0.016059501,0.0053739725,0.018537946,0.017822709,0.0024210457,0.02030114,0.13038899,0.01864109,0.020700164,0.029924685,0.025688278,0.026413484,0.018468758,0.013773628,0.024373291,0.0015470679,0.002195178,0.0357067,0.0030339623,0.020666732,0.029874343,0.0084003685,0.019720552,0.0068381014,0.092494495,0.0006658465
-302,0.011949545,0.003688132,0.023664039,0.0200938,0.08782195,0.031649232,0.055689514,0.02802845,0.018184954,0.011062272,0.026012138,0.030354943,0.014885763,0.004869689,0.018071396,0.01681571,0.0022604174,0.022274924,0.17579085,0.018786965,0.02051284,0.029471243,0.0253064,0.02580631,0.018509194,0.012882099,0.02397012,0.0014601271,0.0030615341,0.038696777,0.0031292515,0.01820774,0.031503905,0.007814179,0.019568095,0.0058291396,0.09231632,0.00039054593
-301,0.006541989,0.0028994996,0.019358698,0.019360159,0.052350625,0.021075469,0.036716875,0.022886097,0.014747247,0.0056619514,0.016562993,0.02003141,0.008070277,0.0034780016,0.012838396,0.008341629,0.0019245825,0.020911433,0.3875692,0.016202519,0.016038982,0.021006394,0.018581312,0.01874121,0.015229544,0.010803982,0.017782217,0.0015222341,0.0050950255,0.03058985,0.0063546062,0.011870778,0.022271603,0.0070452066,0.015382013,0.0044039744,0.079751946,0.00010401798
-300,0.006221455,0.0026464593,0.01974957,0.018422723,0.055890415,0.01920009,0.03698239,0.037865132,0.014701394,0.0075450055,0.015951367,0.019154727,0.0075623463,0.0031629794,0.011573022,0.0073102694,0.0019956224,0.020729177,0.38927674,0.015852058,0.01569688,0.019348426,0.017289802,0.017729184,0.015131457,0.012536518,0.016960317,0.0016242983,0.0046755234,0.031706795,0.00567151,0.011718943,0.017330838,0.007277406,0.015075558,0.005712319,0.072721295,6.29584e-05
-299,0.0053326464,0.0026202213,0.015965546,0.016085582,0.043882124,0.017716201,0.030219138,0.02007614,0.013126639,0.004716052,0.014341192,0.017438838,0.0067615556,0.0029842446,0.01215864,0.006608175,0.0018008929,0.018535776,0.4643539,0.014310723,0.014082367,0.017661132,0.01595044,0.016053595,0.013521161,0.010549562,0.015296564,0.0015228437,0.005755684,0.025865022,0.008837883,0.010003043,0.019840859,0.007272269,0.013526533,0.004108266,0.071118586,4.4480366e-05
-298,0.0068608597,0.0027759576,0.020611728,0.0190191,0.056733254,0.022055013,0.039528012,0.023997145,0.015411961,0.0059124692,0.016982445,0.02181884,0.008401794,0.0037334117,0.013723727,0.0086808745,0.0019625088,0.021424478,0.35901713,0.01674056,0.01670675,0.021772863,0.019534823,0.019464696,0.015850779,0.011456165,0.01845032,0.0015690594,0.005002474,0.031540357,0.006140451,0.01242646,0.02335504,0.00686727,0.016014745,0.0046778442,0.08377859,4.556253e-05
-297,0.008059425,0.0028846327,0.022569092,0.018636676,0.07267292,0.023597512,0.04432832,0.043891776,0.016536534,0.008385426,0.018777903,0.023287173,0.009043147,0.003942602,0.014143992,0.009775813,0.0020588741,0.021024477,0.27904227,0.017853659,0.017884575,0.02322619,0.02034407,0.02082786,0.016915785,0.012630768,0.019773783,0.0017654145,0.004189088,0.03817539,0.0043931445,0.014134288,0.022404658,0.007314607,0.017124044,0.006222712,0.09216142,9.445409e-05
-296,0.014979575,0.0045243097,0.021647675,0.0129261045,0.118977815,0.036817897,0.055589825,0.026672116,0.017811075,0.013061992,0.036205888,0.032577008,0.016690344,0.0053700637,0.022519385,0.019656792,0.0025893056,0.019876638,0.11451612,0.018817773,0.020602573,0.031209936,0.02710083,0.027736036,0.01794888,0.013490373,0.025262376,0.0015133928,0.0019645263,0.034110844,0.0028111732,0.022686327,0.03269757,0.008762284,0.019515447,0.006852947,0.093906775,0.00031078965
