"SITE_ID","SITE_IGBP","month","TA_F_avg","VPD_F_avg","P_F_avg","NETRAD_avg","NEE_VUT_REF_avg","NEE_VUT_REF_QC_avg","NEE_CUT_REF_avg","NEE_CUT_REF_QC_avg","GPP_NT_VUT_REF_avg","GPP_DT_VUT_REF_avg","GPP_NT_CUT_REF_avg","GPP_DT_CUT_REF_avg","RECO_NT_VUT_REF_avg","RECO_DT_VUT_REF_avg","RECO_NT_CUT_REF_avg","RECO_DT_CUT_REF_avg","ET_avg","BESS-PAR_avg","BESS-PARdiff_avg","BESS-RSDN_avg","CSIF-SIFdaily_avg","CSIF-SIFinst_avg","PET_avg","Ts_avg","Tmean_avg","prcp_avg","vpd_avg","prcp-lag3_avg","ESACCI-sm_avg","b1_avg","b2_avg","b3_avg","b4_avg","b5_avg","b6_avg","b7_avg","EVI_avg","GCI_avg","NDVI_avg","NDWI_avg","NIRv_avg","kNDVI_avg","Percent_Snow_avg","Fpar_avg","Lai_avg","LST_Day_avg","LST_Night_avg","CO2_concentration_avg","dataset","MODIS_IGBP","MODIS_PFT","koppen_sub","koppen","hemisphere","LOCATION_LAT","LOCATION_LONG"
"BR-Sa1","EBF",9,27.0566,8.1054,4.0968,158.9206273,-0.983017,0.9238888,-0.90705341,0.9230554,9.26128,10.815396,9.195166,10.501746,8.444278,10.543764,8.319744,10.148748,13.0291896,103.6,52.2,216.2,0.487829576,1.39714624,-0.0160747118,301.860532,301.37451,0.0020283198,1.186543332,0.0072706502,0.28018774,0.0277945774,0.389814522,0.0160828882,0.0494639332,0.37907619,0.20177514,0.070384036,0.630013596,6.90208348,0.867199436,0.318160222,0.337978736,0.63629466,0,0.842,5.46,301.372,296.144,379.311,"FLUXNET","EBF","EBF","Am","Tropical","S",-2.85667,-54.95889
"BR-Sa1","EBF",10,27.1118333333333,8.35783333333333,3.39766666666667,155.0354416,-1.38943833333333,0.924507166666667,-1.4178135,0.923611,9.46018833333333,10.90364,9.29596333333333,10.9393766666667,8.12270833333333,10.8413416666667,7.81746,10.8516583333333,12.3629186666667,105,52.5,218.166666666667,0.498183366666667,1.39366146666667,-0.0150696438333333,301.762176666667,301.283138333333,0.0036121885,1.13929077666667,0.00839232883333333,0.253040978333333,0.0303895346666667,0.391466473333333,0.017378974,0.0512334341666667,0.376538716666667,0.197823528333333,0.068052165,0.625213138333333,6.66425585,0.856003538333333,0.32894208,0.335070338333333,0.62466156,0,0.788333333333333,4.96666666666667,301.123333333333,295.956666666667,378.455,"FLUXNET","EBF","EBF","Am","Tropical","S",-2.85667,-54.95889
"BR-Sa3","EBF",5,25.551,7.422,5.04333333333333,118.587583466667,0.427141,0.87612,0.425428666666667,0.878136333333333,8.15695,8.97626,8.07154333333333,8.81560333333333,8.54390333333333,9.91571,8.5913,10.1555766666667,9.16345466666667,98,54,192.666666666667,0.348403733333333,1.0099092,-0.00519226,298.599466666667,298.575143333333,0.00794196733333333,0.460443673333333,0.0336489833333333,0.363511973333333,0.021359999,0.217653333333333,0.015219999,0.03716,0.324,0.17291,0.05937,0.568963,7.7990885,0.87733775,0.30728897,0.2863877,0.6467535,0,0.793333333333333,4.7,297.973333333333,295.146666666667,373.31,"FLUXNET","EBF","EBF","Am","Tropical","S",-3.01803,-54.97144
"BR-Sa3","EBF",6,25.1526666666667,8.30666666666667,4.36366666666667,121.470353433333,1.071232,0.968518333333333,0.902850666666667,0.973842666666667,7.70981,7.75267,7.72948333333333,8.02094666666667,8.82035666666667,8.70902333333333,8.89392333333333,9.35917333333333,8.744799,97.6666666666667,46.3333333333333,195.666666666667,0.329217453333333,0.964067466666667,-0.00481229066666667,297.910686666667,297.96941,0.00611351933333333,0.417163046666667,0.027544537,0.35474586,0.0216814236666667,0.242291396666667,0.015385509,0.0372273243333333,0.312768413333333,0.163737686666667,0.055319743,0.543523366666667,7.34447383333333,0.86873075,0.307445526666667,0.269250183333333,0.637835733333333,0,0.803333333333333,4.6,298.353333333333,294.48,373.266666666667,"FLUXNET","EBF","EBF","Am","Tropical","S",-3.01803,-54.97144
"BR-Sa3","EBF",7,26.1406666666667,10.207,1.78233333333333,143.655757366667,0.477580666666667,0.972894333333333,0.214994666666667,0.974014333333333,7.53295,8.02962333333333,7.82526,8.13886,8.3076,9.20841666666667,8.13166333333333,9.43706333333333,11.272207,103,46.6666666666667,211.666666666667,0.348170756666667,1.02833275666667,-0.00637857366666667,298.95167,298.930643333333,0.00264778733333333,0.599874146666667,0.016703275,0.338904716666667,0.0227012356666667,0.312299976666667,0.016319278,0.0390916853333333,0.314678866666667,0.164459513333333,0.0549525536666667,0.545907166666667,6.99626846666667,0.864139923333333,0.309584756666667,0.27005336,0.633148366666667,0,0.856666666666667,5.4,299.526666666667,294.633333333333,372.72,"FLUXNET","EBF","EBF","Am","Tropical","S",-3.01803,-54.97144
"BR-Sa3","EBF",8,26.689,11.45,1.102,157.229847533333,-0.796136666666667,0.919803,-0.890440666666667,0.920027,6.98224666666667,8.53534333333333,7.06816333333333,8.34805666666667,6.32041666666667,8.71696,6.19773666666667,9.16750666666667,13.153038,110,48.3333333333333,229.666666666667,0.410085866666667,1.2023422,-0.007856163,300.068553333333,299.91445,0.002519473,0.798440046666667,0.0112807796666667,0.320651966666667,0.0272125286666667,0.34432427,0.0197158226666667,0.0458761226666667,0.339781526666667,0.177223643333333,0.0607027273333333,0.5827109,6.5443562,0.8530807,0.319998853333333,0.29395664,0.62148848,0,0.86,5.7,300.046666666667,295.113333333333,371.918333333333,"FLUXNET","EBF","EBF","Am","Tropical","S",-3.01803,-54.97144
"BR-Sa3","EBF",9,27.0155,11.516,2.573,154.33863015,-0.9500445,0.9291665,-1.043234,0.931597,8.370285,10.087875,8.652265,10.125165,7.7706,10.3166,7.7706,11.37385,12.5043485,104,54.5,212.5,0.46612344,1.33530085,-0.007440148,299.77069,299.67862,0.0043151625,0.71749395,0.0101000395,0.30472403,0.0313420005,0.386937935,0.0230922205,0.051940636,0.380171445,0.20306469,0.07021008,0.633849625,6.5168125,0.8507136,0.312235925,0.328968475,0.619076575,0,0.805,5.1,300.25,295.21,371.435,"FLUXNET","EBF","EBF","Am","Tropical","S",-3.01803,-54.97144
"BR-Sa3","EBF",10,27.2625,12.2305,1.453,137.56245755,-1.98071,0.999328,-2.070185,0.999328,8.49714,10.412945,8.744255,10.509455,6.66518,10.16208,6.66518,10.335935,11.768195,100.5,55,207,0.484413275,1.3544217,-0.008848477,300.87659,300.55313,0.0042618745,0.95752175,0.0114571975,0.291491615,0.034347855,0.39101776,0.024732254,0.055713979,0.38709837,0.20740805,0.07195752,0.6313477,6.0413127,0.839053885,0.307644765,0.32790401,0.60683288,0,0.82,5.2,301.18,295.17,371.565,"FLUXNET","EBF","EBF","Am","Tropical","S",-3.01803,-54.97144
"CA-Ca1","ENF",1,2.5775,0.496,4.5685,3.313897765,0.2915195,0.9593415,0.283129,0.9657255,1.346,1.5015595,1.347795,1.442974,1.617225,1.62698,1.623335,1.5712495,0.11554899,14.5,8.5,32.5,0.085828375,0.36388165,-0.0022215955,273.909105,274.989075,0.0066811995,0.08354672,0.023726307,0.26551339,0.0419786145,0.1006299,0.0361972695,0.051107863,0.159606315,0.069839366,0.0248621395,0.316694435,4.24309215,0.70266133,0.451045755,0.12692875,0.4700413,9.0143375,0.525,0.95,273,271.43,370.31,"AmeriFlux","ENF","ENF","Cfb","Temperate","N",49.8673,-125.3336
"CA-Ca1","ENF",2,2.318,1.538,3.399,26.57494488,-0.5540795,0.9438245,-0.569601,0.953869,2.56493,2.77024,2.57433,2.774415,2.01004,2.55172,2.021,2.454575,0.793634505,32.5,15,72,0.10232031,0.379709285,-0.0051381105,273.25893,274.31331,0.004458991,0.12190679,0.0196056505,0.25903312,0.0266848215,0.087445535,0.017701785,0.033455355,0.16486784,0.075090175,0.0273633935,0.31674914,4.46782635,0.742953125,0.410565525,0.13322623,0.50195893,2.357143,0.765,2.1,275.79,270.75,370.6275,"AmeriFlux","ENF","ENF","Cfb","Temperate","N",49.8673,-125.3336
"CA-Ca1","ENF",3,3.093,1.557,3.0045,56.02503897,-1.2090765,0.949261,-1.2064895,0.950269,3.59502,3.525655,3.586475,3.46701,2.38004,2.65698,2.372055,2.295695,1.8212594,48.5,26,107,0.129012185,0.408364865,-0.0073429495,274.90096,275.497545,0.0047532975,0.15538706,0.015893488,0.2511478,0.0320752495,0.09619279,0.0207928055,0.0369430205,0.189673535,0.1000328825,0.04223877,0.317084105,4.12819475,0.709576605,0.30849997,0.13273386,0.46505639,0,0.71,2.15,276.78,271.59,371.0725,"AmeriFlux","ENF","ENF","Cfb","Temperate","N",49.8673,-125.3336
"CA-Ca1","ENF",4,6.842,3.001,1.7895,107.19207142,-2.994935,0.988194,-2.98198,0.9895835,6.402695,6.186435,6.399735,5.69099,3.415485,3.95463,3.47306,3.64632,4.1857404,78.5,39.5,171.5,0.170194625,0.470908225,-0.012896262,278.35559,278.872345,0.0041526645,0.24323625,0.0133649525,0.25558626,0.033942786,0.100652865,0.021609541,0.0404380765,0.20905406,0.117346475,0.050465135,0.3323088,3.9819835,0.709806355,0.25892915,0.140965685,0.46517466,0,0.7,2.55,282.09,274.61,371.6725,"AmeriFlux","ENF","ENF","Cfb","Temperate","N",49.8673,-125.3336
"CA-Ca1","ENF",5,9.6045,3.839,0.999,132.86176825,-3.71457,0.970094,-3.67779,0.9747985,9.137475,8.237395,9.16784,8.211705,5.420355,4.487865,5.58553,4.41403,4.75486335,91.5,48.5,199,0.25637095,0.644868415,-0.01661054,282.150665,282.289505,0.002880229,0.33547202,0.011786191,0.249028215,0.0356560925,0.119903215,0.0225860215,0.0472400505,0.24203074,0.13735672,0.05715842,0.390354635,3.99773955,0.73682982,0.26370765,0.17381981,0.49516435,0,0.72,2.8,286.82,277.79,372.11,"AmeriFlux","ENF","ENF","Cfb","Temperate","N",49.8673,-125.3336
"CA-Ca1","ENF",6,13.324,4.767,1.7895,151.1672564,-1.70084,0.9538195,-1.70552,0.9597225,10.9583,8.730295,10.9457,9.292975,9.295455,6.52154,9.32354,7.5997,6.4234812,98.5,50.5,216.5,0.34213989,0.827349695,-0.0192906895,286.161375,286.38765,0.003434384,0.4599704,0.0104672765,0.25661515,0.0328335185,0.1862873075,0.0210434685,0.049098992,0.263565195,0.14206011,0.055322826,0.45966413,4.6245955,0.786701735,0.31870065,0.21613913,0.5501361,0.10526316,0.795,3.7,288.55,280.62,372.0525,"AmeriFlux","ENF","ENF","Cfb","Temperate","N",49.8673,-125.3336
"CA-Ca1","ENF",7,15.744,6.074,0.963,161.70311035,-0.171637,0.922715,-0.125373,0.934476,13.1378,9.203535,13.1057,9.19603,12.99115,8.92154,13.1008,7.62203,7.578556,109.5,45.5,241.5,0.35677803,0.88307965,-0.020066891,289.002425,289.24105,0.0025674725,0.53387725,0.008882085,0.268482655,0.028201611,0.28000485,0.017979031,0.04447903,0.257354035,0.131305645,0.04773226,0.478979725,5.2972965,0.8169718,0.36169209,0.22881215,0.583245585,0,0.755,3.3,293.13,285.07,371.5125,"AmeriFlux","ENF","ENF","Cfb","Temperate","N",49.8673,-125.3336
"CA-Ca1","ENF",8,16.3285,6.455,1.052,125.93123575,-0.55647615,0.926747,-0.737181,0.939516,11.61455,8.847225,11.60235,8.54088,10.8744,7.28997,10.96728,6.950645,6.16172,96.5,38,207.5,0.289132105,0.7704746,-0.018444788,289.308275,289.65497,0.0033728235,0.511358015,0.0093746795,0.26214516,0.025374999,0.25558465,0.0157330615,0.0387153215,0.23956855,0.12128709,0.0437685485,0.44610771,5.6154524,0.81994385,0.35687484,0.209502725,0.58633552,0,0.79,3.5,293.02,285.44,370.6975,"AmeriFlux","ENF","ENF","Cfb","Temperate","N",49.8673,-125.3336
"CA-Ca1","ENF",9,13.0675,4.017,1.1465,80.06811972,0.215212,0.932292,0.1563045,0.948611,8.21335,7.20855,8.217675,6.30516,8.378005,6.70429,8.546675,6.0678,3.79664315,72,28,156,0.20110446,0.60086817,-0.012066029,286.044995,286.49918,0.003765767,0.33034075,0.009706062,0.2432406,0.0235649985,0.221761665,0.0146166665,0.034055,0.210191665,0.105261668,0.038323329,0.39515422,5.5409715,0.80865555,0.35771785,0.179221545,0.5741318,0,0.835,3.55,289.57,282.23,370.275,"AmeriFlux","ENF","ENF","Cfb","Temperate","N",49.8673,-125.3336
"CA-Ca1","ENF",10,8.2165,2.1265,2.321,34.140035115,0.048222,0.8894485,0.0572925,0.951277,5.567755,4.32616,5.585285,4.07488,5.70718,4.414285,5.808145,3.157295,1.04320605,39.5,18,86.5,0.136613965,0.4634379,-0.007406345,280.81845,281.666825,0.0042607525,0.21443013,0.011399343,0.242016715,0.0236754345,0.198551035,0.0140769275,0.0314707485,0.193969855,0.09811637,0.0384161965,0.35385105,5.3306024,0.78630215,0.3381487,0.15637775,0.54970955,0,0.76,2.45,283.1,276.15,370.4075,"AmeriFlux","ENF","ENF","Cfb","Temperate","N",49.8673,-125.3336
"CA-Ca1","ENF",11,5.7485,0.864,8.6675,5.1006378265,0.6447175,0.8958335,0.6064945,0.9190975,2.45862,2.473505,2.445575,2.724535,3.080625,3.066135,3.06869,3.01941,0.242887455,18.5,10,40,0.083318965,0.32448299,-0.0030171875,277.78314,278.491,0.0114226045,0.090477297,0.019449124,0.259307755,0.0232743815,0.16700229,0.0152131165,0.0288845245,0.163932885,0.0823522695,0.03380257,0.300932615,5.101067,0.76430615,0.340795035,0.12676411,0.5263983,7.80526313,0.64,1.45,277.59,273.7,371.1675,"AmeriFlux","ENF","ENF","Cfb","Temperate","N",49.8673,-125.3336
"CA-Ca2","ENF",1,2.0338,0.573,5.5682,4.8621408976,1.174612,0.964516,1.193906,0.9649194,0.2451664,0.24291214,0.2388048,0.21296344,1.409082,1.285568,1.39432,1.271694,0.373283188,13.6,8.2,29.4,0.049829894,0.211177954,-0.0019218254,273.856422,275.139564,0.0101191128,0.0823724974,0.0279978198,0.26332632,0.0602425208,0.188366506,0.0522131552,0.0650844024,0.160229212,0.0760764952,0.0336662766,0.2769382,3.49716076,0.602208072,0.407475006,0.102957953,0.368587004,30.28855774,0.472,0.76,275.032,269.3,381.061,"AmeriFlux","ENF","ENF","Csb","Temperate","N",49.8705,-125.2909
"CA-Ca2","ENF",2,2.46383333333333,1.339,3.8105,18.6553700223333,1.14140283333333,0.986564333333333,1.16895333333333,0.9674115,0.357670611666667,0.3832465,0.359433666666667,0.382299166666667,1.47076333333333,1.22012866666667,1.509195,1.367371,1.56328135,30.8333333333333,14.8333333333333,67.8333333333333,0.068709189,0.25501535,-0.00509536766666667,273.835663333333,275.0611,0.0043751015,0.137423139,0.021213465,0.265273806666667,0.0738285583333333,0.170371295,0.0604072288333333,0.0761639286666667,0.170822643333333,0.0943278208333333,0.0440967411666667,0.262613071666667,2.72610772333333,0.541581463333333,0.336527066666667,0.097646038,0.3091912055,19.8674819166667,0.61,1.18333333333333,276.846666666667,270.716666666667,379.480833333333,"AmeriFlux","ENF","ENF","Csb","Temperate","N",49.8705,-125.2909
"CA-Ca2","ENF",3,4.3542,1.846,4.348,53.466963458,1.1523046,0.9897852,1.205949,0.9822582,0.68494,0.7745298,0.69119754,0.7065356,1.805758,1.8317536,1.88192,1.7635936,2.9129821,48.2,26,105.8,0.0900076422,0.285240592,-0.0079225706,275.86827,276.556264,0.0066047906,0.16275955,0.0203962906,0.257512956,0.0417638812,0.142683164,0.0251354736,0.0409885546,0.200188218,0.1285917392,0.06431495,0.274178304,3.36271016,0.620898382,0.16247983,0.110219,0.367879648,3.56129026,0.612,1.36,281.348,271.848,380.681,"AmeriFlux","ENF","ENF","Csb","Temperate","N",49.8705,-125.2909
"CA-Ca2","ENF",4,7.908,3.84883333333333,2.89866666666667,93.080858485,1.6104865,0.989120333333333,1.63069433333333,0.983102,1.294892,1.24041716666667,1.36364735,1.2650375,2.87302166666667,2.63153333333333,2.99536,2.67881166666667,5.1343826,81.1666666666667,38.6666666666667,178.5,0.141216058333333,0.389046776666667,-0.0143859928333333,279.387896666667,279.777848333333,0.00467865283333333,0.27474421,0.0154989866666667,0.251353153333333,0.0460310026666667,0.16756026,0.0275768796666667,0.0475565163333333,0.225534098333333,0.152273156666667,0.0764719723333333,0.300866021666667,3.19293971666667,0.624153733333333,0.133549653333333,0.124080625,0.371406776666667,0,0.6,1.6,287.553333333333,274.616666666667,380.753333333333,"AmeriFlux","ENF","ENF","Csb","Temperate","N",49.8705,-125.2909
"CA-Ca2","ENF",5,11.5693333333333,5.01933333333333,2.444,121.070970546667,1.35435,0.984207,1.43554516666667,0.976142333333333,3.53873416666667,3.36751983333333,3.61565733333333,3.51148866666667,4.84531833333333,4.89174333333333,4.95010833333333,4.56049833333333,6.27379885,100.166666666667,48.6666666666667,218.333333333333,0.271713393333333,0.681869795,-0.0172282978333333,283.514543333333,283.744058333333,0.00409074483333333,0.371935716666667,0.0152146301666667,0.250121391666667,0.0443883508333333,0.212910743333333,0.0273794495,0.0545828556666667,0.262695898333333,0.163634908333333,0.0750168425,0.395130743333333,3.6219805,0.6987212,0.211949775,0.176956863333333,0.452997208333333,0,0.661666666666667,2.31666666666667,291.973333333333,277.523333333333,381.089166666667,"AmeriFlux","ENF","ENF","Csb","Temperate","N",49.8705,-125.2909
"CA-Ca2","ENF",6,14.7136666666667,6.144,1.7115,137.2990428,0.490858283333333,0.95,0.4835806,0.933565,6.76507833333333,6.24235666666667,6.93973333333333,6.34010166666667,7.24674,6.43265833333333,7.36538166666667,5.84738333333333,6.26058161666667,108.833333333333,52.1666666666667,236.5,0.385888138333333,0.933151641666667,-0.0194304386666667,286.936948333333,287.200663333333,0.00327188683333333,0.483999316666667,0.0120412841666667,0.258658046666667,0.0389316036666667,0.28095471,0.0245946798333333,0.0563530948333333,0.284906425,0.16002755,0.0667679526666667,0.479616475,4.2903377,0.768653576666667,0.301632306666667,0.228685423333333,0.530409076666667,0,0.748333333333333,3.11666666666667,294.933333333333,280.593333333333,380.92,"AmeriFlux","ENF","ENF","Csb","Temperate","N",49.8705,-125.2909
"CA-Ca2","ENF",7,17.308,7.9746,0.7276,152.57514194,0.8575285,0.9494624,1.0476784,0.933871,6.58541,5.836562,6.628456,5.542854,7.36362,5.611634,7.187956,5.44621,6.22665058,121,41.8,265,0.380136874,0.94079421,-0.0226713704,290.080292,290.174318,0.0026989142,0.61610298,0.0103034972,0.25943982,0.0381241932,0.303761922,0.0235561278,0.0539283842,0.290428382,0.16255064,0.066400963,0.489724482,4.64347198,0.77733549,0.30309185,0.236063986,0.54000372,0,0.764,3.26,299.04,284.364,381.03,"AmeriFlux","ENF","ENF","Csb","Temperate","N",49.8705,-125.2909
"CA-Ca2","ENF",8,17.1746,6.7108,1.4242,114.932961932,2.090288,0.9548386,2.25929,0.918414,4.41801,3.555294,4.55942,3.25607,6.431842,4.290936,6.540766,4.036924,5.64598446,97.8,37.6,211.8,0.299134884,0.798062408,-0.0187133176,290.161896,290.49378,0.0032733548,0.559469318,0.0091043914,0.25368943,0.036717095,0.275446768,0.0228119344,0.0488306428,0.270233552,0.152771606,0.0625696778,0.450365232,4.65484052,0.765394934,0.287127206,0.210719272,0.526800632,0,0.77,3.12,298.296,284.66,379.51,"AmeriFlux","ENF","ENF","Csb","Temperate","N",49.8705,-125.2909
"CA-Ca2","ENF",9,13.1357142857143,4.06042857142857,1.903,70.6503479514286,2.386856,0.972222142857143,2.51579285714286,0.943254142857143,3.33381828571429,2.60426142857143,3.60004714285714,2.59679428571429,5.59821714285714,4.19381428571429,5.92599428571429,4.37771857142857,3.1729639,69.5714285714286,29,150.285714285714,0.206130615714286,0.615351394285714,-0.0120143517142857,285.920124285714,286.463327142857,0.00384887428571429,0.334330214285714,0.00942091042857143,0.253614774285714,0.0330904501428571,0.237896634285714,0.0200550122857143,0.0424666302857143,0.238702378571429,0.134647693571429,0.0555895582857143,0.397805281428571,4.61513857142857,0.756112187142857,0.277252482857143,0.179854407142857,0.516567144285714,0,0.745714285714286,2.57142857142857,292.285714285714,281.42,378.791428571429,"AmeriFlux","ENF","ENF","Csb","Temperate","N",49.8705,-125.2909
"CA-Ca2","ENF",10,8.23714285714286,1.74628571428571,5.25185714285714,31.9259468957143,2.57027142857143,0.985599142857143,2.66421571428571,0.967549857142857,1.203932,1.026885,1.29338085714286,1.12327542857143,3.76759428571429,3.11309,3.83826428571429,3.10161142857143,1.10043411857143,35.2857142857143,17.8571428571429,75.5714285714286,0.118434061428571,0.401648815714286,-0.00634687257142857,281.265307142857,281.813182857143,0.00820587971428571,0.17076922,0.0149557041428571,0.268776432857143,0.031153919,0.200863852857143,0.018713431,0.0373588372857143,0.207095208571429,0.116068266571429,0.048876092,0.339611274285714,4.42097097142857,0.732096172857143,0.267609881428571,0.147028355714286,0.489909788571429,0.655348007142857,0.667142857142857,1.54285714285714,284.668571428571,276.965714285714,378.088571428571,"AmeriFlux","ENF","ENF","Csb","Temperate","N",49.8705,-125.2909
"CA-Ca2","ENF",11,3.515125,0.786625,7.655875,13.397140446875,1.64959125,0.983333375,1.6411075,0.964757125,0.505175875,0.471901875,0.456851775,0.481045375,2.16736,1.879645,2.15635875,1.8044,0.37065336625,17.625,9.75,38,0.066711582625,0.26157013,-0.003038482875,276.119535,276.99817125,0.011104393625,0.095430172375,0.0229804835,0.26677070875,0.028820963625,0.1626104575,0.01780648425,0.03237072275,0.16824747,0.091247197,0.039380094875,0.2779985225,4.1971059,0.7032035375,0.28172449875,0.114052839875,0.45868239,8.958333375,0.59,1.175,277.9875,272.65,379.65875,"AmeriFlux","ENF","ENF","Csb","Temperate","N",49.8705,-125.2909
"CA-Gro","MF",1,-12.06,0.56,1.4064,9.3220484444,0.5126566,0.9150536,0.5006416,0.9190858,-0.046883048,0.011509003,-0.054512826,0.019453462,0.4425798,0.4279222,0.4847106,0.4630214,0.830706986,17.2,9.8,37.4,0.0404897462,0.166665688,-0.0022743302,260.108004,260.121706,0.0015723936,0.0506107828,0.0060976108,0.222975128,0.1861161,0.26460606,0.19207636,0.18980617,0.164377698,0.0624416016,0.0350315296,0.208378466,0.403602144,0.17636555,0.61811794,0.0463000726,0.0320853868,63.1680814,0.404,0.6,258.076,251.832,389.595,"AmeriFlux","MF","MF","Dfb","Cold","N",48.2167,-82.1556
"CA-Gro","MF",2,-12.0506666666667,0.684222222222222,1.09355555555556,36.3767502677778,0.479716666666667,0.954370666666667,0.472358111111111,0.958227888888889,-0.0516472,0.0158007252222222,-0.0513513777777778,0.0212318323333333,0.421582555555556,0.388404222222222,0.441470444444444,0.406204111111111,2.28796821111111,34,17.3333333333333,76.4444444444444,0.056658844,0.207301906666667,-0.00343657877777778,260.275075555556,260.18655,0.00124300266666667,0.0602247057777778,0.00469053077777778,0.211878253333333,0.183459784444444,0.273981015555556,0.180764365555556,0.185394547777778,0.175801235555556,0.0640272237777778,0.0330650541111111,0.22115509,0.486279587777778,0.199060075555556,0.621293251111111,0.0545266892222222,0.0410437568888889,48.1540707777778,0.411111111111111,0.588888888888889,260.868888888889,251.895555555556,386.341666666667,"AmeriFlux","MF","MF","Dfb","Cold","N",48.2167,-82.1556
"CA-Gro","MF",3,-4.5969,2.0948,1.3468,77.185309526,0.5169628,0.9753361,0.5064811,0.9783602,0.239315186,0.16535866,0.24116705,0.179203865,0.7558784,0.5800951,0.7787638,0.6261913,3.41494052,58.1,28.2,129.4,0.073222166,0.231505413,-0.0089281499,267.5121,267.373827,0.001529241,0.1295268474,0.0043101773,0.214292073,0.1034961924,0.215404354,0.0882984804,0.1043985654,0.161451383,0.0812238311,0.0426946117,0.237987965,1.39838171,0.386191266,0.438961933,0.078000964,0.16171677,42.4758907,0.415,0.72,270.908,258.252,385.958,"AmeriFlux","MF","MF","Dfb","Cold","N",48.2167,-82.1556
"CA-Gro","MF",4,2.7549,3.6966,2.2488,109.735224003,-0.078037994,0.9638889,-0.083956088,0.9680555,1.2469087,1.1838882,1.2500215,1.1251031,1.1707437,0.996925,1.1810235,0.9917779,4.26354347,79,37.7,173.9,0.0900932966,0.249729556,-0.0164184746,274.950971,274.895929,0.0023682355,0.248642459,0.0051574077,0.246884488,0.0595810067,0.180896594,0.0391535167,0.0596420897,0.161577758,0.1028285569,0.0544821576,0.24349945,2.23861612,0.516339416,0.2736043234,0.0918832745,0.264304997,17.21403493,0.461,0.98,280.42,267.098,386.7785,"AmeriFlux","MF","MF","Dfb","Cold","N",48.2167,-82.1556
"CA-Gro","MF",5,10.5113333333333,6.63133333333333,2.36311111111111,142.269029555556,-0.658320144444444,0.944295333333333,-0.672390144444444,0.954002333333333,3.40289444444444,3.34796,3.42971111111111,3.44902666666667,2.90327444444444,2.73091222222222,2.76720111111111,2.85451222222222,5.56581141111111,98.3333333333333,44.5555555555556,215.444444444444,0.137327105444444,0.346886126666667,-0.0252289638888889,283.385446666667,283.445573333333,0.00221343966666667,0.516776182222222,0.006001257,0.258160656666667,0.03905878,0.17666469,0.0216711458888889,0.0422392454444444,0.195163084444444,0.133378135111111,0.068980645,0.275158385555556,3.20505432222222,0.635743822222222,0.137597688333333,0.112969204333333,0.384246417777778,0.211469533333333,0.58,1.71111111111111,290.111111111111,274.828888888889,385.99,"AmeriFlux","MF","MF","Dfb","Cold","N",48.2167,-82.1556
"CA-Gro","MF",6,15.9423333333333,7.44577777777778,3.00177777777778,153.350652533333,-2.29318111111111,0.924922777777778,-2.31974,0.931404333333333,7.60964222222222,7.52635111111111,7.64998666666667,7.67604555555556,5.31556,5.84204111111111,5.39800777777778,6.02080222222222,6.86618823333333,106.111111111111,50.4444444444444,229.333333333333,0.324142501111111,0.791888208888889,-0.0251303557777778,289.204475555556,289.189873333333,0.00292466477777778,0.643432043333333,0.00744497155555556,0.247752755555556,0.0293977748888889,0.254039626666667,0.0190485182222222,0.0452322243333333,0.24104425,0.135017585555556,0.0551114804444444,0.435237898888889,4.65229356666667,0.787645764444444,0.301039728888889,0.201701195555556,0.550848798888889,0,0.726666666666667,2.96666666666667,294.035555555556,280.953333333333,385.797777777778,"AmeriFlux","MF","MF","Dfb","Cold","N",48.2167,-82.1556
"CA-Gro","MF",7,17.926625,7.143375,3.27075,145.0390511875,-2.122925,0.94203625,-2.13675,0.952201,8.8250425,8.6131675,8.85102375,8.4481325,6.708985,6.60437375,6.68815,6.48979375,7.0914948125,101.375,50.125,219,0.36982571875,0.9256689825,-0.02177827075,291.1526975,291.17715,0.003642353,0.62455321625,0.008857374625,0.2482688875,0.023318198625,0.2853959175,0.016707364125,0.040412016375,0.25738767,0.132754905,0.04670849375,0.503811885,6.0777502125,0.8488889125,0.36477772875,0.24229238625,0.6172522325,0.330645175,0.7375,3.2875,294.5425,284.5125,385.94,"AmeriFlux","MF","MF","Dfb","Cold","N",48.2167,-82.1556
"CA-Gro","MF",8,16.997875,6.357625,2.771625,120.59448815,-1.36811625,0.958249375,-1.39504,0.968665875,7.39843875,7.57085,7.4320725,7.4833375,6.14417125,6.40603625,6.06288125,6.42188875,5.694459275,89.5,43,193.25,0.29339192625,0.787653825,-0.02057085175,290.36667125,290.4245625,0.0031825265,0.56984222625,0.0096043835,0.24063645375,0.02288005875,0.2589277025,0.015990236375,0.036717303875,0.2398605475,0.12462689575,0.045320255125,0.46211544,6.0689730125,0.8370931525,0.34972773125,0.21691261875,0.60466730125,0.73790325,0.7625,3.175,294.1125,283.4825,385.5375,"AmeriFlux","MF","MF","Dfb","Cold","N",48.2167,-82.1556
